Time,Cloudness,MaxWindSpeed,MinWindSpeed,MaxDayTemp,MinDayTemp
342,99.000,6.200,3.700,-10.000,-11.000
343,87.000,5.100,3.200,-9.000,-11.000
344,88.000,5.100,2.600,-11.000,-11.000
345,90.000,5.700,2.800,-11.000,-13.000
346,88.000,4.800,2.800,-13.000,-15.000
347,93.000,5.200,3.300,-14.000,-14.000
348,85.000,5.900,3.600,-14.000,-16.000
349,84.000,5.900,4.300,-13.000,-15.000
350,71.000,5.700,2.500,-13.000,-16.000
351,88.000,5.800,3.300,-12.000,-14.000
352,87.000,6.000,3.200,-15.000,-17.000
353,66.000,5.000,2.000,-17.000,-18.000
354,92.000,5.900,3.400,-15.000,-19.000
355,58.000,5.300,2.500,-15.000,-16.000
356,74.000,4.900,2.900,-17.000,-19.000
357,90.000,6.100,3.100,-15.000,-18.000
358,94.000,7.200,3.200,-15.000,-18.000
359,81.000,5.900,3.000,-15.000,-16.000
360,77.000,5.300,2.700,-15.000,-18.000
361,88.000,6.100,3.200,-13.000,-17.000
362,94.000,7.300,3.500,-12.000,-15.000
363,80.000,8.200,4.000,-11.000,-14.000
364,95.000,7.700,4.000,-9.000,-13.000
365,88.000,7.200,3.900,-10.000,-12.000
366,92.000,7.200,4.000,-13.000,-15.000
