Time,MinTemp,Cloudness,Qout,24h out,Qd,%,Qf,Qbs a,Qbs w,Qbs s,% bs a/d,% bs w/d,% bs s/d,% f/d,Qhwp,% hw
23,-1.6E+01,71,2.697206112E+02,6.4732946688E+03,3.1576269668878235E+03,4.8779286722524173E-01,2.3938413084299536E+03,2.838902149391374E+03,3.074660513956974E+03,0E+00,1.0093808446619214E-01,2.627493804710627E-02,1E+00,2.4188596894669348E-01,4.96E+03,6.366183400983515E-01
24,-1.8E+01,81,2.847050896E+02,6.8329221504E+03,2.0650669329911443E+03,3.022231027277627E-01,1.5682328121479218E+03,1.8604967283661958E+03,2.0126417086176784E+03,0E+00,9.90622634824911E-02,2.5386694995658408E-02,1E+00,2.405898389567371E-01,4.96E+03,4.163441397159565E-01
25,-1.8E+01,82,2.847050896E+02,6.8329221504E+03,1.8701014523935828E+03,2.736898520472836E-01,1.4854863827272723E+03,1.6824028629409609E+03,1.8222830676816463E+03,0E+00,1.0036813201357743E-01,2.5569941486721346E-02,1E+00,2.0566534995950805E-01,4.96E+03,3.770365831438675E-01
26,-1.7E+01,80,2.772128504E+02,6.6531084095999995E+03,2.0763962943117076E+03,3.1209416207852614E-01,1.650055161893142E+03,1.872204452284133E+03,2.0252482787427589E+03,0E+00,9.833953305877045E-02,2.4633070146131888E-02,1E+00,2.0532743849838694E-01,4.96E+03,4.1862828514348943E-01
27,-1.8E+01,75,2.847050896E+02,6.8329221504E+03,2.593613420102366E+03,3.7957602370027527E-01,2.0620657564408702E+03,2.3439206971640856E+03,2.5321467860324337E+03,0E+00,9.627214333600477E-02,2.3699227338015043E-02,1E+00,2.0494483084549917E-01,4.96E+03,5.229059314722512E-01
28,-2.1E+01,78,3.071818072E+02,7.3723633727999995E+03,2.280603230601543E+03,3.0934492987902973E-01,1.8138687242907713E+03,2.065818167989312E+03,2.2286631290131295E+03,0E+00,9.417905742226747E-02,2.2774720692960552E-02,1E+00,2.04653970514487E-01,4.96E+03,4.5979903842773046E-01
29,-1.8E+01,96,2.847050896E+02,6.8329221504E+03,4.143479758744419E+02,6.0639938046152905E-02,3.296632021397512E+02,3.761759125304719E+02,4.05280911066368E+02,0E+00,9.212561799876402E-02,2.1882729821326365E-02,1E+00,2.0438080711260023E-01,4.96E+03,8.353789836178264E-02
30,-1.8E+01,74,2.847050896E+02,6.8329221504E+03,2.691274124889153E+03,3.9386869419134324E-01,2.141833902225002E+03,2.4490492521856168E+03,2.6348071856644647E+03,0E+00,9.000379057020538E-02,2.098148928883792E-02,1E+00,2.0415617182318108E-01,4.96E+03,5.425955896953938E-01
31,-2E+01,83,2.99689568E+02,7.192549632E+03,1.7582334089235846E+03,2.4445203702190937E-01,1.3995715576638304E+03,1.6037455525698128E+03,1.7229090019630005E+03,0E+00,8.786538554534196E-02,2.0090851863752413E-02,1E+00,2.0398989658564848E-01,4.96E+03,3.5448254212169045E-01
32,-1.7E+01,90,2.772128504E+02,6.6531084095999995E+03,1.03338955434088E+03,1.5532432221452558E-01,8.227506900178411E+02,9.447912482236447E+02,1.0135188504815352E+03,0E+00,8.573563158739828E-02,1.9228667229967182E-02,1E+00,2.038329722206157E-01,4.96E+03,2.083446682138871E-01
33,-1.8E+01,86,2.847050896E+02,6.8329221504E+03,1.4455518951379595E+03,2.1155690981395664E-01,1.1510401845283818E+03,1.3247436996863767E+03,1.4190021982791404E+03,0E+00,8.357236835143382E-02,1.8366477847054478E-02,1E+00,2.0373651862665929E-01,4.96E+03,2.914419143423305E-01
34,-1.8E+01,93,2.847050896E+02,6.8329221504E+03,7.221420589764831E+02,1.0568568514046496E-01,5.750717307218782E+02,6.633484387862626E+02,7.094769661468979E+02,0E+00,8.141558777721764E-02,1.7538229039776337E-02,1E+00,2.0365844424440918E-01,4.96E+03,1.455931570517103E-01
35,-1.8E+01,91,2.847050896E+02,6.8329221504E+03,9.276526667265641E+02,1.3576221802443034E-01,7.387487874469559E+02,8.541135146678103E+02,9.121303377820236E+02,0E+00,7.927444688781377E-02,1.6732910389094892E-02,1E+00,2.0363643209931037E-01,4.96E+03,1.8702674732390406E-01
36,-1.9E+01,97,2.9219732880000004E+02,7.012735891200001E+03,3.0896767197638223E+02,4.40580790108028E-02,2.4603714621615026E+02,2.851449148152084E+02,3.0404047796617965E+02,0E+00,7.710436826217504E-02,1.5947280110843447E-02,1E+00,2.0367996870896718E-01,4.96E+03,6.2291869350077064E-02
